City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Castro,-24.7911,-50.0119,67.3,70,2,7.63,BR,2023-01-25 23:52:39
67,Paamiut,61.994,-49.6678,28.92,98,100,10.36,GL,2023-01-25 23:52:39
68,Jamestown,42.097,-79.2353,38.79,97,100,10.36,US,2023-01-25 23:50:46
69,Yellowknife,62.456,-114.3525,5.52,85,100,11.5,CA,2023-01-25 23:52:12
70,Mataura,-46.1927,168.8643,76.78,31,75,4.88,NZ,2023-01-25 23:52:39
71,Cherskiy,68.75,161.3,-32.66,97,39,3.02,RU,2023-01-25 23:52:40
72,Zeya,53.75,127.2667,-37.57,98,20,2.3,RU,2023-01-25 23:52:40
73,Lebu,-37.6167,-73.65,59.29,79,23,13.04,CL,2023-01-25 23:52:40
74,Mabaruma,8.2,-59.7833,70.63,93,15,3.13,GY,2023-01-25 23:52:41
75,Sorong,-0.8833,131.25,81.16,76,100,3.69,ID,2023-01-25 23:52:41
76,Gunjur,13.2019,-16.7339,71.67,83,0,6.91,GM,2023-01-25 23:52:41
77,Hobart,-42.8794,147.3294,66.25,53,99,4.0,AU,2023-01-25 23:52:42
78,Bagu,18.4228,121.3583,68.59,90,92,6.51,PH,2023-01-25 23:52:42
79,Cortes,41.9395,-1.4396,42.85,87,92,23.09,ES,2023-01-25 23:52:42
80,Lima,-12.0432,-77.0282,78.91,69,20,8.05,PE,2023-01-25 23:48:45
81,Palmer,42.1584,-72.3287,34.5,82,100,8.05,US,2023-01-25 23:52:43
82,Puerto Ayora,-0.7393,-90.3518,77.56,91,90,7.0,EC,2023-01-25 23:52:43
83,Kruisfontein,-34.0033,24.7314,59.88,91,0,4.27,ZA,2023-01-25 23:52:43
84,Hilo,19.7297,-155.09,80.33,71,0,10.36,US,2023-01-25 23:52:44
85,Bandarbeyla,9.4942,50.8122,75.47,66,32,16.4,SO,2023-01-25 23:52:44
86,Nalut,30.3333,10.85,45.39,39,25,5.35,LY,2023-01-25 23:52:44
87,Tambo,-14.8,-73.9167,40.05,93,98,9.53,PE,2023-01-25 23:52:45
88,Kununurra,-15.7667,128.7333,78.78,94,75,5.75,AU,2023-01-25 23:52:45
89,Tuktoyaktuk,69.4541,-133.0374,-14.8,76,20,10.36,CA,2023-01-25 23:52:45
90,Marzuq,14.4,46.4667,59.07,84,19,6.58,YE,2023-01-25 23:52:45
91,Carnarvon,-24.8667,113.6333,83.64,60,38,8.12,AU,2023-01-25 23:52:46
92,Verkhoyansk,67.5447,133.385,-38.11,93,100,1.74,RU,2023-01-25 23:52:46
93,Port Lincoln,-34.7333,135.8667,67.6,66,39,10.02,AU,2023-01-25 23:52:46
94,Sitka,57.0531,-135.33,44.49,93,100,12.66,US,2023-01-25 23:52:47
95,Port Elizabeth,-33.918,25.5701,68.29,83,75,6.91,ZA,2023-01-25 23:51:11
96,Namibe,-15.1961,12.1522,74.44,83,100,5.5,AO,2023-01-25 23:53:47
